project,ref_stat,label,dsp_pedon_id,sample_id,layer,method,topdepth,depth,soc,depth_increments,apparent_depth,actual_depth
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-2,2,esm1,-13.4,-44.9,55.2194710383624,standard,10-30 cm,13.4-44.9 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-2,2,esm2,-13.3611704598659,-45.0751416877081,54.2730666922508,standard,10-30 cm,13.4-45.1 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-2,2,fd,-10,-30,50.11567796458387,standard,10-30 cm,10-30 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-3,3,esm1,-44.9,-73.9,22.9352162604766,standard,30-50 cm,44.9-73.9 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-3,3,esm2,-45.0751416877081,-74.4094206045769,10.5371403179529,standard,30-50 cm,45.1-74.4 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-3,3,fd,-30,-50,19.511623276729832,standard,30-50 cm,30-50 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-4,4,esm1,-73.9,-106.7,25.9405204601253,standard,50-75 cm,73.9-106.7 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-4,4,esm2,-74.4094206045769,-106.456798566076,51.7634937044527,standard,50-75 cm,74.4-106.5 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-4,4,fd,-50,-75,19.771738155584583,standard,50-75 cm,50-75 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-5,5,esm1,-106.7,-141.5,27.522259512572,standard,75-100 cm,106.7-141.5 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-5,5,esm2,-106.456798566076,-138.685485961011,207.116664795662,standard,75-100 cm,106.5-138.7 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-5,5,fd,-75,-100,19.771738155584583,standard,75-100 cm,75-100 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-1,1,esm1,0,-13.4,42.3771649923239,standard,0-10 cm,0-13.4 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-1,1,esm2,0,-13.3611704598659,43.0579498016188,standard,0-10 cm,0-13.4 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-1,1,fd,0,-10,31.70640319016027,standard,0-10 cm,0-10 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-2,2,esm1,-13.4,-44.9,70.095466287084,standard,10-30 cm,13.4-44.9 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-2,2,esm2,-13.3611704598659,-45.0751416877081,56.5779732120555,standard,10-30 cm,13.4-45.1 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-2,2,fd,-10,-30,50.601639165215666,standard,10-30 cm,10-30 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-3,3,esm1,-44.9,-73.9,106.578574127414,standard,30-50 cm,44.9-73.9 cm
