project,ref_stat,label,dsp_pedon_id,sample_id,layer,method,topdepth,depth,soc,depth_increments,apparent_depth,actual_depth
Illinois,fd,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-4,4,fd,-50,-75,19.771738155584583,standard,50-75 cm,50-75 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-5,5,esm1,-82.1,-109.6,21.7489119711416,standard,75-100 cm,82.1-109.6 cm
Illinois,max,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-5,5,esm2,-82.5742730013498,-109.253153581716,56.0968155407109,standard,75-100 cm,82.6-109.3 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-001,IL-019-SW-RTHRML-001-5,5,fd,-75,-100,19.771738155584583,standard,75-100 cm,75-100 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-1,1,esm1,0,-12.4,39.2387056387464,standard,0-10 cm,0-12.4 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-1,1,esm2,0,-12.3423706746958,39.6523190391664,standard,0-10 cm,0-12.3 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-1,1,fd,0,-10,31.70640319016027,standard,0-10 cm,0-10 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-2,2,esm1,-12.4,-33.9,47.8103658743302,standard,10-30 cm,12.4-33.9 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-2,2,esm2,-12.3423706746958,-33.9182778053588,47.8959087776059,standard,10-30 cm,12.3-33.9 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-2,2,fd,-10,-30,50.601639165215666,standard,10-30 cm,10-30 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-3,3,esm1,-33.9,-54.6,61.0722552503286,standard,30-50 cm,33.9-54.6 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-3,3,esm2,-33.9182778053588,-54.9916138267568,23.1579891383033,standard,30-50 cm,33.9-55 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-3,3,fd,-30,-50,48.9077174774725,standard,30-50 cm,30-50 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-4,4,esm1,-54.6,-82.1,101.065889258755,standard,50-75 cm,54.6-82.1 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-4,4,esm2,-54.9916138267568,-82.5742730013498,77.2501981995996,standard,50-75 cm,55-82.6 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-4,4,fd,-50,-75,91.87808114432124,standard,50-75 cm,50-75 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-5,5,esm1,-82.1,-109.6,101.065889258748,standard,75-100 cm,82.1-109.6 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-5,5,esm2,-82.5742730013498,-109.253153581716,234.433193835973,standard,75-100 cm,82.6-109.3 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-5,5,fd,-75,-100,91.87808114432124,standard,75-100 cm,75-100 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-1,1,esm1,0,-12.4,57.4865545427448,standard,0-10 cm,0-12.4 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-1,1,esm2,0,-12.3423706746958,57.6510225945778,standard,0-10 cm,0-12.3 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-1,1,fd,0,-10,46.12251696269894,standard,0-10 cm,0-10 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-2,2,esm1,-12.4,-33.9,88.1646132174995,standard,10-30 cm,12.4-33.9 cm
