dsp_pedon_id,dsp_plot_id,pedon_num,date_sampled,pedon_x,pedon_y,target_soil_name,soil_sampled_name,dspplotmgt_id,label_full,label,lu,till,trt,explanation,gen_state,site,project,soil,soc_stock_0_30cm,soc_stock_30_50cm,soc_stock_50_100cm,soc_stock_100cm
IL-147-SW-TS-001,IL-147-SW-TS,1,5/12/2020,-88.700021,39.876683,Drummer,Drummer,36,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,AG-CROP,Taylor South,Illinois,Drummer,92.6546082119085,23.723671768706,30.054625773825,146.4329057544395
IL-147-SW-TS-002,IL-147-SW-TS,2,5/12/2020,-88.700776,39.878541,Drummer,Drummer,36,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,AG-CROP,Taylor South,Illinois,Drummer,105.0989159391545,30.274029683591998,40.98549536995,176.3584409926965
IL-147-SW-TS-003,IL-147-SW-TS,3,5/12/2020,-88.705988,39.878261,Drummer,Drummer,36,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,AG-CROP,Taylor South,Illinois,Drummer,110.7667681221695,28.621169640543997,48.54165001444,187.92958777715347
IL-147-SW-TS-003A,IL-147-SW-TS,3,11/19/2020,-88.705988,39.878261,Drummer,Drummer,36,BAU - Conventional,BAU,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn,AG-CROP,Taylor South,Illinois,Drummer,102.04635370919107,32.88066023193648,NA,NA
PaH2-1,PaH2,1,8/11/2020,-72.2346389,41.7541111,Paxton/ Woodbridge,Woodbridge,70,SHM - Hayland,SHM,GRASS,No-till,Hayland,"Mountain Dairy farm, Mansfield, CT, hayfield",AG-CROP,H2,UConn,Woodbridge,84.5324343484145,10.9525670944058,NA,NA
PaL1-1,PaL1,1,7/23/2020,-72.188333,41.7995278,Paxton/ Woodbridge,Woodbridge,71,SHM - Lawn,SHM,GRASS,No-till,Lawn,"Will Ouimet residential lawn, Mansfield, CT",AG-CROP,L1,UConn,Woodbridge,83.95925129150007,14.748664496118401,20.6071606682784,119.31507645589687
PaL1-2,PaL1,2,7/23/2020,-72.18838889,41.7995556,Paxton/ Woodbridge,Woodbridge,71,SHM - Lawn,SHM,GRASS,No-till,Lawn,"Will Ouimet residential lawn, Mansfield, CT",AG-CROP,L1,UConn,Woodbridge,102.44994409289801,16.991019272997,NA,NA
PaL2-2,PaL2,2,7/24/2020,-72.1895,41.80006,Paxton/ Woodbridge,Canton,72,SHM - Lawn,SHM,GRASS,No-till,Lawn,"Nels Barrett residential lawn, Mansfield, CT",AG-CROP,L2,UConn,Canton,77.16067916802851,38.311738835342396,NA,NA
PaM1-1,PaM1,1,7/14/2020,-72.23745,41.8184833,Paxton/ Woodbridge,Canton,73,Ref - Managed forest,Ref,FOREST,Perennial,Managed forest,"UConn forest east of Horsebarn Hill, Storrs, CT, Stand D, oak/ hickory upland hardwoof, thinned 2013",Reference,M1,UConn,Canton,NA,NA,NA,NA
PaM2-1,PaM2,1,7/21/2020,-72.25135,41.8207833,Paxton/ Woodbridge,Woodbridge,74,SHM - Managed forest,SHM,FOREST,Perennial,Managed forest,"UConn forest east of Horsebarn Hill, Storrs, CT, Stand B, ash-dominated, thinned 2013",AG-CROP,M2,UConn,Woodbridge,105.12499501975351,15.812505031289998,NA,NA
PaM2-2,PaM2,2,7/21/2020,-72.2543056,41.821,Paxton/ Woodbridge,Woodbridge,74,SHM - Managed forest,SHM,FOREST,Perennial,Managed forest,"UConn forest east of Horsebarn Hill, Storrs, CT, Stand B, ash-dominated, thinned 2013",AG-CROP,M2,UConn,Woodbridge,87.768541083933,15.125626427222999,NA,NA
PaT2-1,PaT2,1,8/12/2020,-72.2351944,41.7537778,Paxton/ Woodbridge,Woodbridge,78,BAU - Conv till silage corn,BAU,CROP,Till,Conv till silage corn,"Mountain Dairy farm, Mansfield, CT, corn field, conventional till, with manure",AG-CROP,T2,UConn,Woodbridge,68.995619934771,10.25708293236,21.430657845252,100.683360712383
PaU1-1,PaU1,1,7/14/2020,-72.2388333,41.8184333,Paxton/ Woodbridge,Woodbridge,79,Ref - Unmanaged forest,Ref,FOREST,Perennial,Unmanaged forest,"UConn forest east of Horsebarn Hill, Storrs, CT, Stand C, oak/ hickory upland hardwood, no recent management",Reference,U1,UConn,Woodbridge,153.19136523016678,17.894594371698002,25.536576505284003,196.6225361071488
PaU1-2,PaU1,2,7/14/2020,-72.238939,41.818491,Paxton/ Woodbridge,Woodbridge,79,Ref - Unmanaged forest,Ref,FOREST,Perennial,Unmanaged forest,"UConn forest east of Horsebarn Hill, Storrs, CT, Stand C, oak/ hickory upland hardwood, no recent management",Reference,U1,UConn,Woodbridge,123.2249970331835,12.3948429618816,NA,NA
PaU2-1,PaU2,1,7/21/2020,-72.2532778,41.8216111,Paxton/ Woodbridge,Woodbridge,80,Ref - Unmanaged forest,Ref,FOREST,Perennial,Unmanaged forest,"UConn forest east of Horsebarn Hill, Storrs, CT, Stand A, ash- dominated, no recent management",Reference,U2,UConn,Woodbridge,166.2114320658785,22.1166688774827,31.414615423160996,219.74271636652222
PaU2-2,PaU2,2,7/21/2020,-72.25333,41.82161667,Paxton/ Woodbridge,Woodbridge,80,Ref - Unmanaged forest,Ref,FOREST,Perennial,Unmanaged forest,"UConn forest east of Horsebarn Hill, Storrs, CT, Stand A, ash- dominated, no recent management",Reference,U2,UConn,Woodbridge,121.79320599938,11.046368034879,NA,NA
CVT-1-1,CVT-1,a,NA,-101.9472,32.774177,NA,Amarillo,28,BAU,BAU,CROP,Till,Conv Till - 1,CT,AG-CROP,Lamesa,TexasA&MPt-1,Amarillo,6.557,4.8875,9.887500000000001,21.332
CVT-1-2,CVT-1,b,NA,-101.9472,32.774177,NA,Amarillo,28,BAU,BAU,CROP,Till,Conv Till - 1,CT,AG-CROP,Lamesa,TexasA&MPt-1,Amarillo,6.057500000000001,5.803000000000001,13.4475,25.308
CVT-1-3,CVT-1,c,NA,-101.9472,32.774177,NA,Amarillo,28,BAU,BAU,CROP,Till,Conv Till - 1,CT,AG-CROP,Lamesa,TexasA&MPt-1,Amarillo,8.113000000000001,4.839,11.362499999999999,24.314500000000002
CVT-2-1,CVT-2,a,NA,-101.947051,32.774988,NA,Amarillo,29,BAU,BAU,CROP,Till,Conv Till - 2,CT,AG-CROP,Lamesa,TexasA&MPt-1,Amarillo,8.561,5.310999999999999,12.322499999999998,26.194499999999998
CVT-2-2,CVT-2,b,NA,-101.947051,32.774988,NA,Amarillo,29,BAU,BAU,CROP,Till,Conv Till - 2,CT,AG-CROP,Lamesa,TexasA&MPt-1,Amarillo,6.938,4.6545000000000005,10.405000000000001,21.997500000000002
