cooplabmst_id,dsp_sample_id,dsp_pedon_id,layer_no,dsp_pedon,sand_pct,silt_pct,clay_pct,texture,bulk_density,water_content,soc_pct,tc_pct,tn_pct,kssl_wsa,yoder_agg_stab_mwd,yoder_agg_stab_total_ws,yoder_ws_2_8,yoder_ws_pt5_2,yoder_ws_250_500,yoder_ws_53_250,ec,p_h,soil_respiration,bglucosidase,bglucosaminidase,alkaline_phosphatase,acid_phosphatase,phosphodiesterase,arylsulfatase,pox_c,ace,weoc,weon,effervescence,plfa_id,kssl_labsampnum,coarse_frag_volume,laydesg_id,hzdesg,hrzdep_t,hrzdep_b,dsp_plot_id,pedon_num,date_sampled,pedon_x,pedon_y,target_soil_name,soil_sampled_name,dspplotmgt_id,label_full,label,lu,till,trt,explanation,gen_state,site,project,soil,estimated_organic_c,c_tot_ncs,soc_pct_mod,genhz,bd_fill,soc_fill,coarse_frag_fill,hrzdepth,cf_mult,soc_stock_hrz
128,KeC1-3-6,KeC1-3,6,S2018KS179112,NA,NA,NA,,NA,0.21,0.64,NA,NA,16.5,0.672414567,NA,NA,NA,NA,NA,NA,NA,0.885710672,18.37531458,5.901244857,87.04816809,17.62132238,50.01375873,32.95410749,97.18773824,0.86983241,NA,NA,,KS-179-SW-112-6-61_80-2018R,19N02573,0,128,Btk2,61,80,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,0.4,1.3,0.64,Btk,1.2896228975625,0.64,0,19,1,15.68181443436
129,KeC1-3-7,KeC1-3,7,S2018KS179112,NA,NA,NA,,NA,0.2,0.7,NA,NA,7.833333333,0.393256781,NA,NA,NA,NA,NA,NA,NA,0.872766549,13.01664678,5.741770297,56.13178345,17.66944299,24.77882909,23.50305692,85.77193734,0.765745958,NA,NA,,KS-179-SW-112-7-80_100-2018,19N02574,0,129,Bk,80,100,KeC1,NA,NA,-100.557271,39.244626,NA,Keith,46,BAU,BAU,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,NA,KansasState,Keith,0.3,1.47,0.7,Bk,1.2237974818333333,0.7,0,20,1,17.133164745666665
130,KeC2-1-1,KeC2-1,1,S2018KS193101,NA,NA,NA,,0.933968903,0.253132832,2.37,NA,NA,7,0.508598397,NA,NA,NA,NA,NA,NA,NA,0.933778193,221.7331907,170.0381488,38.90491681,469.3799911,103.1812369,4.710299883,483.7589264,8.386554648,NA,NA,,KS-193-SW-101-1-0_5-2018,19N02575,0,130,Ap1,0,5,KeC2,NA,NA,-101.0631493,39.3817794,NA,Keith,47,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,NA,KansasState,Keith,2.2,2.15,2.37,A,0.933968903,2.37,0,5,1,11.06753150055
131,KeC2-1-2,KeC2-1,2,S2018KS193101,NA,NA,NA,,1.140932904,0.2425,1.73,NA,NA,5.833333333,0.606465856,NA,NA,NA,NA,NA,NA,NA,7.737255756,61.65974105,44.9615553,37.14614878,283.7241178,69.97971921,7.356392784,338.3806456,5.370330763,NA,NA,,KS-193-SW-101-2-5_10-2018,19N02576,0,131,Ap1,5,10,KeC2,NA,NA,-101.0631493,39.3817794,NA,Keith,47,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,NA,KansasState,Keith,1.5,1.5,1.73,A,1.140932904,1.73,0,5,1,9.869069619600001
132,KeC2-1-3,KeC2-1,3,S2018KS193101,NA,NA,NA,,1.221540705,0.199040767,1.26,NA,NA,6.5,0.434293214,NA,NA,NA,NA,NA,NA,NA,0.667306888,47.91776518,36.94724084,49.03584229,331.6383726,45.23634305,13.50500955,164.7802074,3.271023549,NA,NA,,KS-193-SW-101-3-10_22-2018,19N02577,0,132,Ap2,10,22,KeC2,NA,NA,-101.0631493,39.3817794,NA,Keith,47,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,NA,KansasState,Keith,1.1,1.14,1.26,A,1.221540705,1.26,0,12,1,18.4696954596
133,KeC2-1-4,KeC2-1,4,S2018KS193101,NA,NA,NA,,1.319614748,0.186320755,0.74,NA,NA,8,0.388488582,NA,NA,NA,NA,NA,NA,NA,0.575373512,8.467947654,28.43358534,51.14741461,57.90940708,78.0585779,14.3941039,51.31679718,1.156749555,NA,NA,,KS-193-SW-101-4-22_42-2018,19N02578,0,133,Bt1,22,42,KeC2,NA,NA,-101.0631493,39.3817794,NA,Keith,47,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,NA,KansasState,Keith,0.7,0.68,0.74,Bt,1.319614748,0.74,0,20,1,19.5302982704
134,KeC2-1-5,KeC2-1,5,S2018KS193101,NA,NA,NA,,1.382474426,0.155963303,0.75,NA,NA,30.66666667,0.905362023,NA,NA,NA,NA,NA,NA,NA,0.605912978,8.612422129,30.10179957,104.8387097,31.11844872,76.10464874,22.57393962,85.33141607,1.231495655,NA,NA,,KS-193-SW-101-5-42_56-2018,19N02579,0,134,Bt2,42,56,KeC2,NA,NA,-101.0631493,39.3817794,NA,Keith,47,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,NA,KansasState,Keith,0.7,0.7,0.75,Bt,1.382474426,0.75,0,14,1,14.515981473
135,KeC2-1-6,KeC2-1,6,S2018KS193101,NA,NA,NA,,1.368067125,0.140909091,1.02,NA,NA,24.83333333,0.783405722,NA,NA,NA,NA,NA,NA,NA,0.805581232,9.637171701,17.02488684,70.70702971,17.96742319,66.84919248,25.69022808,97.97083588,0.816852812,NA,NA,,KS-193-SW-101-6-56_69-2018,19N02580,0,135,Btk1,56,69,KeC2,NA,NA,-101.0631493,39.3817794,NA,Keith,47,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,NA,KansasState,Keith,0.9,1.27,1.02,Btk,1.368067125,1.02,0,13,1,18.1405700775
136,KeC2-1-7,KeC2-1,7,S2018KS193101,NA,NA,NA,,1.256107786,0.116071429,0.82,NA,NA,9.333333333,0.474282764,NA,NA,NA,NA,NA,NA,NA,0.752569792,8.087520493,7.385072942,22.49679804,3.116921706,34.05224025,19.61465332,66.72662176,0.616701977,NA,NA,,KS-193-SW-101-7-69_84-2018,19N02581,0,136,Btk2,69,84,KeC2,NA,NA,-101.0631493,39.3817794,NA,Keith,47,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,NA,KansasState,Keith,0.7,1.34,0.82,Btk,1.256107786,0.82,0,15,1,15.450125767800001
137,KeC2-1-8,KeC2-1,8,S2018KS193101,NA,NA,NA,,1.242825403,0.109375,0.59,NA,NA,8.166666667,0.355798047,NA,NA,NA,NA,NA,NA,NA,0.694949958,2.940653243,7.699644517,19.26288748,0,17.72272843,14.34862857,30.26102979,0.598964141,NA,NA,,KS-193-SW-101-8-84_100-2018,19N02582,0,137,Btk3,84,100,KeC2,NA,NA,-101.0631493,39.3817794,NA,Keith,47,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,NA,KansasState,Keith,0.5,1.17,0.59,Btk,1.242825403,0.59,0,16,1,11.73227180432
138,KeC2-2-1,KeC2-2,1,S2018KS193102,NA,NA,NA,,1.382098583,0.238916256,2.28,NA,NA,8.333333333,0.351567086,NA,NA,NA,NA,NA,NA,NA,0.939737848,158.1702189,118.3062187,41.77615452,486.5852483,119.9268848,7.789811728,389.4061969,8.108058201,NA,NA,,KS-193-SW-102-1-0_5-2018,19N02583,0,138,Ap1,0,5,KeC2,NA,NA,-101.0632519,39.3815262,NA,Keith,47,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,NA,KansasState,Keith,2.1,2.14,2.28,A,1.382098583,2.28,0,5,1,15.7559238462
139,KeC2-2-2,KeC2-2,2,S2018KS193102,NA,NA,NA,,1.451378905,0.230576441,1.6,NA,NA,7.666666667,0.571283318,NA,NA,NA,NA,NA,NA,NA,0.684388247,69.80500962,52.33230919,37.85263261,278.1636191,44.02863891,5.715290544,323.7936061,5.25948936,NA,NA,,KS-193-SW-102-2-5_10-2018,19N02584,0,139,Ap1,5,10,KeC2,NA,NA,-101.0632519,39.3815262,NA,Keith,47,BAU,BAU,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,NA,KansasState,Keith,1.5,1.48,1.6,A,1.451378905,1.6,0,5,1,11.61103124
