dsp_pedon_id,dsp_plot_id,label_full,label,lu,till,trt,project,soil,site,pedon_x,pedon_y,map,mat,climate
BAU8-2,BAU8,BAU,BAU,CROP,Till,BAU8,WashingtonState,Palouse,LYM,-117.4236809,46.74504915,493.412994384766,9.5398998260498,cool_dry
BAU8-3,BAU8,BAU,BAU,CROP,Till,BAU8,WashingtonState,Palouse,LYM,-117.4236808,46.74504922,493.412994384766,9.5398998260498,cool_dry
BAU9-1,BAU9,BAU,BAU,CROP,Till,BAU9,WashingtonState,Palouse,CK,-117.0822114,46.78188975,567.93701171875,8.61989974975586,cool_dry
BAU9-2,BAU9,BAU,BAU,CROP,Till,BAU9,WashingtonState,Palouse,CK,-117.0822114,46.78188975,567.93701171875,8.61989974975586,cool_dry
BAU9-3,BAU9,BAU,BAU,CROP,Till,BAU9,WashingtonState,Palouse,CK,-117.0822114,46.78188975,567.93701171875,8.61989974975586,cool_dry
PGL7-7a,PGL7,Ref - CRP,Ref,GRASS,Perennial,PGL7,WashingtonState,Palouse,PCF,-117.1998969,46.75739636,515.658996582031,8.73999977111816,cool_dry
PGL7-7b,PGL7,Ref - CRP,Ref,GRASS,Perennial,PGL7,WashingtonState,Palouse,PCF,-117.1998969,46.75739636,515.658996582031,8.73999977111816,cool_dry
PGL7-7c,PGL7,Ref - CRP,Ref,GRASS,Perennial,PGL7,WashingtonState,Palouse,PCF,-117.1998969,46.75739636,515.658996582031,8.73999977111816,cool_dry
PGL9-1,PGL9,Ref - CRP,Ref,GRASS,Perennial,PGL9,WashingtonState,Palouse,PCF,-117.20006,46.75757146,515.658996582031,8.73999977111816,cool_dry
PGL9-2,PGL9,Ref - CRP,Ref,GRASS,Perennial,PGL9,WashingtonState,Palouse,PCF,-117.1998969,46.75739636,515.658996582031,8.73999977111816,cool_dry
PGL9-3,PGL9,Ref - CRP,Ref,GRASS,Perennial,PGL9,WashingtonState,Palouse,PCF,-117.1998969,46.75739636,515.658996582031,8.73999977111816,cool_dry
ALT-1,ALT,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean",UnivOfMinnesota,Marquis,Mower,-92.85464,43.74984,908.956970214844,6.8899998664856,cool_wet
ALT-2,ALT,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean",UnivOfMinnesota,Marquis,Mower,-92.85499,43.74981,908.956970214844,6.8899998664856,cool_wet
ALT-3,ALT,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean",UnivOfMinnesota,Marquis,Mower,-92.85457,43.74953,908.956970214844,6.8899998664856,cool_wet
ALT-4,ALT,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean",UnivOfMinnesota,Marquis,Mower,-92.85453,43.74922,908.956970214844,6.8899998664856,cool_wet
ALT-5,ALT,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean",UnivOfMinnesota,Marquis,Mower,-92.85467,43.74899,908.956970214844,6.8899998664856,cool_wet
ALT-6,ALT,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean",UnivOfMinnesota,Marquis,Mower,-92.85419,43.74893,908.956970214844,6.8899998664856,cool_wet
ALT-7,ALT,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean",UnivOfMinnesota,Marquis,Mower,-92.85348,43.74876,908.841003417969,6.85999965667725,cool_wet
ALT-8,ALT,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean",UnivOfMinnesota,Marquis,Mower,-92.85374,43.74855,908.841003417969,6.85999965667725,cool_wet
ALT-9,ALT,SHM-no till,SHM,CROP,No-till,"No-till (cover crop, no-fertilizer). Soybean. Soybean",UnivOfMinnesota,Marquis,Mower,-92.85341,43.749,908.841003417969,6.85999965667725,cool_wet
