project,dsp_pedon_id,dsp_plot_id,label,trt,explanation,lu,till,soil,suborder,soil_sampled_name,pedon_x,pedon_y,map,mat
NCState,CeC2-2,CeC2,BAU,wheat - 2,corn,CROP,Till,Cecil,Udults,Cecil,-78.67525,35.72765,1223.13793945312,15.7299995422363
NCState,CeC2-3,CeC2,BAU,wheat - 2,corn,CROP,Till,Cecil,Udults,Cecil,-78.67555,35.72739,1223.13793945312,15.7299995422363
NCState,CeC3-1,CeC3,BAU,wheat - 3,corn,CROP,Till,Cecil,Udults,Cecil,-78.67194,35.72451,1223.13793945312,15.7299995422363
NCState,CeC3-2,CeC3,BAU,wheat - 3,corn,CROP,Till,Cecil,Udults,Cecil,-78.67194,35.72481,1223.13793945312,15.7299995422363
NCState,CeC3-3,CeC3,BAU,wheat - 3,corn,CROP,Till,Cecil,Udults,Cecil,-78.67194,35.72511,1223.13793945312,15.7299995422363
NCState,CeF3-2,CeF3,Ref,forest,forest,FOREST,Perennial,Cecil,Udults,Cecil,-78.66952,35.72619,1222.92102050781,15.6899995803833
NCState,CeF3-1,CeF3,Ref,forest,forest,FOREST,Perennial,Cecil,Udults,Cecil,-78.66969,35.72612,1222.92102050781,15.6899995803833
NCState,CeH1-1,CeH1,SHM,hay 1,hay,FORAGE,Perennial,Cecil,Udults,Cecil,-78.68048,35.73409,1223.04284667969,15.789999961853
NCState,CeH1-2,CeH1,SHM,hay 1,hay,FORAGE,Perennial,Cecil,Udults,Cecil,-78.68042,35.73443,1223.04284667969,15.789999961853
NCState,CeH1-3,CeH1,SHM,hay 1,hay,FORAGE,Perennial,Cecil,Udults,Cecil,-78.68036,35.73477,1223.04284667969,15.789999961853
NCState,CeH2-1,CeH2,SHM,hay 2,hay,FORAGE,Perennial,Cecil,Udults,Cecil,-78.67504,35.72877,1223.13793945312,15.7299995422363
NCState,CeH2-2,CeH2,SHM,hay 2,hay,FORAGE,Perennial,Cecil,Udults,Cecil,-78.67478,35.72871,1223.13793945312,15.7299995422363
NCState,CeH2-3,CeH2,SHM,hay 2,hay,FORAGE,Perennial,Cecil,Udults,Cecil,-78.67452,35.72865,1223.13793945312,15.7299995422363
NCState,CeH3-1,CeH3,SHM,hay 3,hay,FORAGE,Perennial,Cecil,Udults,Cecil,-78.67191,35.73246,1222.80590820312,15.7399997711182
NCState,CeH3-2,CeH3,SHM,hay 3,hay,FORAGE,Perennial,Cecil,Udults,Cecil,-78.67204,35.73285,1222.80590820312,15.7399997711182
NCState,CeH3-3,CeH3,SHM,hay 3,hay,FORAGE,Perennial,Cecil,Udults,Cecil,-78.67215,35.73325,1222.80590820312,15.7399997711182
TexasA&MPt-1,NAT-1-1,NAT-1,Ref,Rangland,NAT,GRASS,Perennial,Amarillo,Ustalfs,Amarillo,-102.406408,32.060626,354.966003417969,18.0100002288818
TexasA&MPt-1,NAT-2-2,NAT-2,Ref,Rangland,NAT,GRASS,Perennial,Amarillo,Ustalfs,Amarillo,-102.406791,33.059817,439.466003417969,16.0699996948242
TexasA&MPt-1,NAT-3-3,NAT-3,Ref,Rangland,NAT,GRASS,Perennial,Amarillo,Ustalfs,Amarillo,-102.406186,33.060119,439.466003417969,16.0699996948242
TexasA&MPt-1,CVT-1-1,CVT-1,BAU,Conv Till - 1,CT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.9472,32.774177,441.817993164062,16.4099998474121
TexasA&MPt-1,CVT-1-2,CVT-1,BAU,Conv Till - 1,CT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.9472,32.774177,441.817993164062,16.4099998474121
TexasA&MPt-1,CVT-1-3,CVT-1,BAU,Conv Till - 1,CT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.9472,32.774177,441.817993164062,16.4099998474121
TexasA&MPt-1,NTR-1-1,NTR-1,SHM,No Till - Rye - 1,RNT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.947399,32.775007,441.817993164062,16.4099998474121
TexasA&MPt-1,NTR-1-2,NTR-1,SHM,No Till - Rye - 1,RNT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.947399,32.775007,441.817993164062,16.4099998474121
TexasA&MPt-1,NTR-1-3,NTR-1,SHM,No Till - Rye - 1,RNT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.947399,32.775007,441.817993164062,16.4099998474121
TexasA&MPt-1,NTM-1-1,NTM-1,SHM,No Till - Mixed - 1,MNT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.946881,32.774275,441.817993164062,16.4099998474121
TexasA&MPt-1,NTM-1-2,NTM-1,SHM,No Till - Mixed - 1,MNT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.946881,32.774275,441.817993164062,16.4099998474121
TexasA&MPt-1,NTM-1-3,NTM-1,SHM,No Till - Mixed - 1,MNT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.946881,32.774275,441.817993164062,16.4099998474121
TexasA&MPt-1,NTR-2-1,NTR-2,SHM,No Till - Rye - 2,RNT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.947399,32.775007,441.817993164062,16.4099998474121
TexasA&MPt-1,NTR-2-2,NTR-2,SHM,No Till - Rye - 2,RNT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.947399,32.775007,441.817993164062,16.4099998474121
TexasA&MPt-1,NTR-2-3,NTR-2,SHM,No Till - Rye - 2,RNT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.947399,32.775007,441.817993164062,16.4099998474121
TexasA&MPt-1,NTM-2-1,NTM-2,SHM,No Till - Mixed - 2,MNT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.947229,32.775004,441.817993164062,16.4099998474121
TexasA&MPt-1,NTM-2-2,NTM-2,SHM,No Till - Mixed - 2,MNT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.947229,32.775004,441.817993164062,16.4099998474121
TexasA&MPt-1,NTM-2-3,NTM-2,SHM,No Till - Mixed - 2,MNT,CROP,Till,Amarillo,Ustalfs,Amarillo,-101.947229,32.775004,441.817993164062,16.4099998474121
