project,label,dsp_plot_id,dsp_pedon_id,dsp_sample_id,layer_no,hzdesg,hrzdep_t,hrzdep_b,soc_fill,bd_hybrid
KansasState,Ref,KeN2,KeN2-2,KeN2-2-3,3,A2,10,26,1.56,1.251321012
KansasState,Ref,KeN2,KeN2-2,KeN2-2-4,4,Bt1,26,46,1.71,1.242880214
KansasState,Ref,KeN2,KeN2-2,KeN2-2-5,5,Bt2,46,69,1.21,1.157023325
KansasState,Ref,KeN2,KeN2-2,KeN2-2-6,6,Bt3,69,93,0.69,1.333901987
KansasState,Ref,KeN2,KeN2-2,KeN2-2-7,7,Btk,93,100,0.55,1.425069922
KansasState,Ref,KeN2,KeN2-3,KeN2-3-1,1,A1,0,5,4.33,0.755067817
KansasState,Ref,KeN2,KeN2-3,KeN2-3-2,2,A1,5,10,2.15,1.274231752
KansasState,Ref,KeN2,KeN2-3,KeN2-3-3,3,A2,10,25,1.9,1.104977293
KansasState,Ref,KeN2,KeN2-3,KeN2-3-4,4,Bt1,25,44,1.61,1.008049461
KansasState,Ref,KeN2,KeN2-3,KeN2-3-5,5,Bt2,44,56,1.2,1.129093861
KansasState,Ref,KeN2,KeN2-3,KeN2-3-6,6,Bt3,56,82,0.76,1.31662969
KansasState,Ref,KeN2,KeN2-3,KeN2-3-7,7,Bt4,82,100,0.65,1.292306998
KansasState,Ref,KeN3,KeN3-1,KeN3-1-1,1,A1,0,5,1.35,1.056744158
KansasState,Ref,KeN3,KeN3-1,KeN3-1-2,2,A1,5,10,3.01,1.420685092
KansasState,Ref,KeN3,KeN3-1,KeN3-1-3,3,A2,10,25,1.04,1.254736121
KansasState,Ref,KeN3,KeN3-1,KeN3-1-4,4,Bt1,25,43,0.74,1.301668263
KansasState,Ref,KeN3,KeN3-1,KeN3-1-5,5,Bt2,43,57,0.59,1.35582614
KansasState,Ref,KeN3,KeN3-1,KeN3-1-6,6,Bk1,57,83,0.73,1.164903311
KansasState,Ref,KeN3,KeN3-1,KeN3-1-7,7,Bk2,83,100,0.82,1.348993112
KansasState,Ref,KeN3,KeN3-2,KeN3-2-1,1,A1,0,5,2.91,0.686664461
KansasState,Ref,KeN3,KeN3-2,KeN3-2-2,2,A1,5,10,1.29,1.275985684
KansasState,Ref,KeN3,KeN3-2,KeN3-2-3,3,A2,10,25,1.06,1.297909837
KansasState,Ref,KeN3,KeN3-2,KeN3-2-4,4,Bt1,25,45,0.67,1.330169661
KansasState,Ref,KeN3,KeN3-2,KeN3-2-5,5,Bt2,45,71,0.58,1.348136077
KansasState,Ref,KeN3,KeN3-2,KeN3-2-6,6,Btk,71,85,0.66,1.431647168
KansasState,Ref,KeN3,KeN3-2,KeN3-2-7,7,Bk,85,100,0.91,1.33862612
KansasState,Ref,KeN3,KeN3-3,KeN3-3-1,1,A1,0,5,2.79,0.734897597
KansasState,Ref,KeN3,KeN3-3,KeN3-3-2,2,A1,5,10,1.35,1.158472226
KansasState,Ref,KeN3,KeN3-3,KeN3-3-3,3,A2,10,26,0.96,1.290236383
KansasState,Ref,KeN3,KeN3-3,KeN3-3-4,4,Bt,26,44,0.71,1.237691498
KansasState,Ref,KeN3,KeN3-3,KeN3-3-5,5,Btk,44,65,0.74,1.301807464
KansasState,Ref,KeN3,KeN3-3,KeN3-3-6,6,Bk1,65,79,0.89,1.30271227
KansasState,Ref,KeN3,KeN3-3,KeN3-3-7,7,Bk2,79,100,0.66,1.189385281
NCState,BAU,CeC1,CeC1-1,CeC1-1-1,1,Ap1,0,5,1.87,0.870713957
NCState,BAU,CeC1,CeC1-1,CeC1-1-2,2,Ap2,5,10,2.46,1.541044262
NCState,BAU,CeC1,CeC1-1,CeC1-1-3,3,Bt1,10,20,1.37,2.127431703
NCState,BAU,CeC1,CeC1-1,CeC1-1-4,4,Bt2,20,42,0.52,1.582248168
NCState,BAU,CeC1,CeC1-1,CeC1-1-5,5,BC,42,69,0.26,1.668044854
NCState,BAU,CeC1,CeC1-1,CeC1-1-6,6,C1,69,100,0.32,1.912587688
NCState,BAU,CeC1,CeC1-2,CeC1-2-1,1,Ap1,0,5,1.82,1.536133195
NCState,BAU,CeC1,CeC1-2,CeC1-2-2,2,Ap2,5,10,1.44,1.83819412
NCState,BAU,CeC1,CeC1-2,CeC1-2-3,3,Bt1,10,24,1.02,0.859146172
NCState,BAU,CeC1,CeC1-2,CeC1-2-4,4,Bt2,24,61,0.24,1.706353197
NCState,BAU,CeC1,CeC1-2,CeC1-2-5,5,BC,61,100,0.14,1.891973333
NCState,BAU,CeC1,CeC1-3,CeC1-3-1,1,Ap1,0,5,1.45,1.537952109
NCState,BAU,CeC1,CeC1-3,CeC1-3-2,2,Ap2,5,10,1.17,1.678978546
NCState,BAU,CeC1,CeC1-3,CeC1-3-3,3,Bt1,10,21,0.82,2.212873793
NCState,BAU,CeC1,CeC1-3,CeC1-3-4,4,Bt2,21,55,0.39,1.656120865
NCState,BAU,CeC1,CeC1-3,CeC1-3-5,5,BC,55,100,0.14,1.764467487
NCState,BAU,CeC2,CeC2-1,CeC2-1-1,1,Ap1,0,5,1.43,1.182778907
NCState,BAU,CeC2,CeC2-1,CeC2-1-2,2,Ap2,5,10,1.58,1.31531708
NCState,BAU,CeC2,CeC2-1,CeC2-1-3,3,Bt1,10,25,0.66,1.687951854
NCState,BAU,CeC2,CeC2-1,CeC2-1-4,4,Bt2,25,43,0.84,2.242053577
NCState,BAU,CeC2,CeC2-1,CeC2-1-5,5,Bt3,43,100,0.32,1.865538455
NCState,BAU,CeC2,CeC2-2,CeC2-2-1,1,Ap1,0,5,1.87,1.67946359
NCState,BAU,CeC2,CeC2-2,CeC2-2-2,2,Ap2,5,10,1.06,1.67146037
NCState,BAU,CeC2,CeC2-2,CeC2-2-3,3,A/B,10,34,0.67,2.20900998
NCState,BAU,CeC2,CeC2-2,CeC2-2-4,4,Bt1,34,64,0.22,1.838436642
NCState,BAU,CeC2,CeC2-2,CeC2-2-5,5,BC,64,100,0.23,1.811880503
NCState,BAU,CeC2,CeC2-3,CeC2-3-1,1,Ap1,0,5,1.79,1.404807631
NCState,BAU,CeC2,CeC2-3,CeC2-3-2,2,Ap2,5,10,1.15,1.570935076
NCState,BAU,CeC2,CeC2-3,CeC2-3-3,3,Bt1,10,26,1.2,2.003472739
NCState,BAU,CeC2,CeC2-3,CeC2-3-4,4,Bt2,26,46,0.46,1.636415967
NCState,BAU,CeC2,CeC2-3,CeC2-3-5,5,Bt3,46,100,0.09,1.767317119
