project,ref_stat,label,dsp_pedon_id,sample_id,layer,method,topdepth,depth,soc,depth_increments,apparent_depth,actual_depth
Illinois,fd,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-2,2,fd,-10,-35,56.679881675087664,genetic_hrz,10-35 cm,10-35 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-3,3,esm1,-39,-74.5,128.00740048114,genetic_hrz,35-69 cm,39-74.5 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-3,3,esm2,-39.0143121968463,-75.0403302231033,62.3541521522826,genetic_hrz,35-69 cm,39-75 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-3,3,fd,-35,-69,112.65681663728465,genetic_hrz,35-69 cm,35-69 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-4,4,esm1,-74.5,-108.6,125.321702680849,genetic_hrz,69-100 cm,74.5-108.6 cm
Illinois,max,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-4,4,esm2,-75.0403302231033,-108.312924738384,254.17299643596,genetic_hrz,69-100 cm,75-108.3 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-002,IL-019-SW-RTHRML-002-4,4,fd,-69,-100,113.92882061895834,genetic_hrz,69-100 cm,69-100 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-1,1,esm1,0,-12.4,57.4865545427448,genetic_hrz,0-10 cm,0-12.4 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-1,1,esm2,0,-12.3423706746958,57.6510225945778,genetic_hrz,0-10 cm,0-12.3 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-1,1,fd,0,-10,46.12251696269894,genetic_hrz,0-10 cm,0-10 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-2,2,esm1,-12.4,-39,101.491264878533,genetic_hrz,10-35 cm,12.4-39 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-2,2,esm2,-12.3423706746958,-39.0143121968463,102.024671576696,genetic_hrz,10-35 cm,12.3-39 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-2,2,fd,-10,-35,102.40302664600446,genetic_hrz,10-35 cm,10-35 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-3,3,esm1,-39,-74.5,33.8053720001368,genetic_hrz,35-69 cm,39-74.5 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-3,3,esm2,-39.0143121968463,-75.0403302231033,25.6310144633673,genetic_hrz,35-69 cm,39-75 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-3,3,fd,-35,-69,39.28496181971033,genetic_hrz,35-69 cm,35-69 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-4,4,esm1,-74.5,-108.6,30.8306531565929,genetic_hrz,69-100 cm,74.5-108.6 cm
Illinois,max,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-4,4,esm2,-75.0403302231033,-108.312924738384,58.6061873035954,genetic_hrz,69-100 cm,75-108.3 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-003,IL-019-SW-RTHRML-003-4,4,fd,-69,-100,28.027866505989664,genetic_hrz,69-100 cm,69-100 cm
Illinois,max,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-1,1,esm1,0,-12.4,34.2842153276473,genetic_hrz,0-10 cm,0-12.4 cm
Illinois,max,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-1,1,esm2,0,-12.3423706746958,34.3882068531598,genetic_hrz,0-10 cm,0-12.3 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-1,1,fd,0,-10,27.6210389915985,genetic_hrz,0-10 cm,0-10 cm
Illinois,max,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-2,2,esm1,-12.4,-39,63.024902494102,genetic_hrz,10-35 cm,12.4-39 cm
Illinois,max,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-2,2,esm2,-12.3423706746958,-39.0143121968463,63.2773686915205,genetic_hrz,10-35 cm,12.3-39 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-2,2,fd,-10,-35,62.47069064037866,genetic_hrz,10-35 cm,10-35 cm
Illinois,max,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-3,3,esm1,-39,-74.5,25.2977724695822,genetic_hrz,35-69 cm,39-74.5 cm
Illinois,max,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-3,3,esm2,-39.0143121968463,-75.0403302231033,27.4351765620943,genetic_hrz,35-69 cm,39-75 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-3,3,fd,-35,-69,28.769831968869852,genetic_hrz,35-69 cm,35-69 cm
Illinois,max,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-4,4,esm1,-74.5,-108.6,23.2210378810128,genetic_hrz,69-100 cm,74.5-108.6 cm
Illinois,max,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-4,4,esm2,-75.0403302231033,-108.312924738384,25.2857622687507,genetic_hrz,69-100 cm,75-108.3 cm
Illinois,fd,SHM,IL-019-SW-RTHRML-004,IL-019-SW-RTHRML-004-4,4,fd,-69,-100,21.11003443728515,genetic_hrz,69-100 cm,69-100 cm
Illinois,max,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-1,1,esm1,0,-12.3,40.8691376859985,genetic_hrz,0-10 cm,0-12.3 cm
Illinois,max,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-1,1,esm2,0,-12.1759325283762,41.4553457554107,genetic_hrz,0-10 cm,0-12.2 cm
Illinois,fd,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-1,1,fd,0,-10,33.7744979539995,genetic_hrz,0-10 cm,0-10 cm
Illinois,max,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-2,2,esm1,-12.3,-39.3,80.9505539859501,genetic_hrz,10-35 cm,12.3-39.3 cm
Illinois,max,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-2,2,esm2,-12.1759325283762,-39.096398749368,82.4907894511951,genetic_hrz,10-35 cm,12.2-39.1 cm
Illinois,fd,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-2,2,fd,-10,-35,76.8435377022415,genetic_hrz,10-35 cm,10-35 cm
Illinois,max,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-3,3,esm1,-39.3,-76.5,58.77054985008,genetic_hrz,35-69 cm,39.3-76.5 cm
Illinois,max,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-3,3,esm2,-39.096398749368,-78.1469825336329,71.1241047284896,genetic_hrz,35-69 cm,39.1-78.1 cm
Illinois,fd,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-3,3,fd,-35,-69,61.227867670048504,genetic_hrz,35-69 cm,35-69 cm
Illinois,max,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-4,4,esm1,-76.5,-111.8,41.1566851079493,genetic_hrz,69-100 cm,76.5-111.8 cm
Illinois,max,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-4,4,esm2,-78.1469825336329,-109.112954423354,9.53554370781453,genetic_hrz,69-100 cm,78.1-109.1 cm
Illinois,fd,BAU,IL-115-SW-ETAL-001,IL-115-SW-ETAL-001-4,4,fd,-69,-100,36.143264542392004,genetic_hrz,69-100 cm,69-100 cm
Illinois,max,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-1,1,esm1,0,-12.6,33.60547490341,genetic_hrz,0-10 cm,0-12.6 cm
Illinois,max,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-1,1,esm2,0,-12.522176381468901,34.194279184359,genetic_hrz,0-10 cm,0-12.5 cm
Illinois,fd,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-1,1,fd,0,-10,27.315936151237,genetic_hrz,0-10 cm,0-10 cm
Illinois,max,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-2,2,esm1,-12.6,-39.3,63.4512739023396,genetic_hrz,10-35 cm,12.6-39.3 cm
Illinois,max,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-2,2,esm2,-12.522176381468901,-39.0780432262292,64.6908046856173,genetic_hrz,10-35 cm,12.5-39.1 cm
Illinois,fd,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-2,2,fd,-10,-35,60.909269543174,genetic_hrz,10-35 cm,10-35 cm
Illinois,max,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-3,3,esm1,-39.3,-76.4,42.5947163646963,genetic_hrz,35-69 cm,39.3-76.4 cm
Illinois,max,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-3,3,esm2,-39.0780432262292,-77.9388507238592,51.772262270705,genetic_hrz,35-69 cm,39.1-77.9 cm
Illinois,fd,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-3,3,fd,-35,-69,45.646817164821606,genetic_hrz,35-69 cm,35-69 cm
Illinois,max,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-4,4,esm1,-76.4,-111.5,27.4133006923753,genetic_hrz,69-100 cm,76.4-111.5 cm
Illinois,max,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-4,4,esm2,-77.9388507238592,-108.897923338214,6.04227333372117,genetic_hrz,69-100 cm,77.9-108.9 cm
Illinois,fd,BAU,IL-115-SW-ETAL-002,IL-115-SW-ETAL-002-4,4,fd,-69,-100,24.2111772496734,genetic_hrz,69-100 cm,69-100 cm
Illinois,max,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-1,1,esm1,0,-12.7,38.51275749249,genetic_hrz,0-10 cm,0-12.7 cm
Illinois,max,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-1,1,esm2,0,-12.7409208105605,39.346662822797,genetic_hrz,0-10 cm,0-12.7 cm
Illinois,fd,BAU,IL-115-SW-ETAL-003,IL-115-SW-ETAL-003-1,1,fd,0,-10,30.338691775506497,genetic_hrz,0-10 cm,0-10 cm
