project,method_long,ref_stat,label,dsp_pedon_id,sample_id,layer,method,topdepth,depth,soc,depth_increments,apparent_depth,actual_depth,ref_data
OregonState,esm1_mean,mean,BAU,WoCT3-1,WoCT3-1-1,1,esm1,0,-8.6,19.5912,standard,0-10 cm,0-8.6 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT3-1,WoCT3-1-1,1,esm2,0,-8.64384402267081,19.6525925814551,standard,0-10 cm,0-8.6 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT3-1,WoCT3-1-2,2,esm1,-8.6,-27.2,33.6751559999999,standard,10-30 cm,8.6-27.2 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT3-1,WoCT3-1-2,2,esm2,-8.64384402267081,-27.517991810703,39.1727827843938,standard,10-30 cm,8.6-27.5 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT3-1,WoCT3-1-3,3,esm1,-27.2,-45.3,12.0415679999998,standard,30-50 cm,27.2-45.3 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT3-1,WoCT3-1-3,3,esm2,-27.517991810703,-45.4639267067021,13.4102216978913,standard,30-50 cm,27.5-45.5 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT3-1,WoCT3-1-4,4,esm1,-45.3,-69.6,11.4481080000009,standard,50-75 cm,45.3-69.6 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT3-1,WoCT3-1-4,4,esm2,-45.4639267067021,-68.25683036517,1.17287544682948,standard,50-75 cm,45.5-68.3 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT3-1,WoCT3-1-5,5,esm1,-69.6,-96.1,7.70673000000066,standard,75-100 cm,69.6-96.1 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT3-1,WoCT3-1-5,5,esm2,-68.25683036517,-95.4926581148848,9.12082231210655,standard,75-100 cm,68.3-95.5 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT3-2,WoCT3-2-1,1,esm1,0,-8.6,20.4525,standard,0-10 cm,0-8.6 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT3-2,WoCT3-2-1,1,esm2,0,-8.64384402267081,20.6039942125225,standard,0-10 cm,0-8.6 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT3-2,WoCT3-2-2,2,esm1,-8.6,-27.2,32.3513200000002,standard,10-30 cm,8.6-27.2 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT3-2,WoCT3-2-2,2,esm2,-8.64384402267081,-27.517991810703,37.0723375634993,standard,10-30 cm,8.6-27.5 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT3-2,WoCT3-2-3,3,esm1,-27.2,-45.3,14.0763700000002,standard,30-50 cm,27.2-45.3 cm,indv_project
OregonState,esm2_mean,mean,BAU,WoCT3-2,WoCT3-2-3,3,esm2,-27.517991810703,-45.4639267067021,15.6462638283844,standard,30-50 cm,27.5-45.5 cm,indv_project
OregonState,esm1_mean,mean,BAU,WoCT3-2,WoCT3-2-4,4,esm1,-45.3,-69.6,12.8294460000003,standard,50-75 cm,45.3-69.6 cm,indv_project
